f_i_mom_5d,f_i_mom_10d,f_i_mom_20d,f_i_vol_10d,f_i_vol_20d,f_i_rsi_dist,f_i_high_20d_ratio,f_i_vol_ratio,f_j_mom_5d,f_j_mom_10d,f_j_mom_20d,f_j_vol_10d,f_j_vol_20d,f_j_rsi_dist,f_j_high_20d_ratio,f_j_vol_ratio,label
-0.0505059082318459,0.0143058755184699,0.0077508640598344,0.0237567712288061,0.0199768072134328,-0.0431466051571665,0.9419492722393046,1.2733236087501147,0.0207533517015745,-0.0730334914320469,-0.1252558396424187,0.0234285858491251,0.0302004046670912,-1.1797510161708746,0.8343333897282071,0.8149730505463294,0.0
-0.0505059082318459,0.0143058755184699,0.0077508640598344,0.0237567712288061,0.0199768072134328,-0.0431466051571665,0.9419492722393046,1.2733236087501147,-0.0671698029015842,-0.0864745229293049,-0.07991905839595,0.0134306851051922,0.0138991073926516,-2.22330110998225,0.8990659591800757,0.981290448108386,0.0
-0.0505059082318459,0.0143058755184699,0.0077508640598344,0.0237567712288061,0.0199768072134328,-0.0431466051571665,0.9419492722393046,1.2733236087501147,-0.1036867218319153,-0.1742853198554199,-0.1565602736046347,0.0197915662406636,0.0208610525569856,-2.0019092211216996,0.8157594085267124,1.0768055208091436,0.0
-0.0505059082318459,0.0143058755184699,0.0077508640598344,0.0237567712288061,0.0199768072134328,-0.0431466051571665,0.9419492722393046,1.2733236087501147,0.0876192923153793,-0.0289335026045423,0.0207492109602267,0.0336409143485161,0.0273532963995224,0.2559153008245278,0.9710664973954576,1.0204545989375549,0.0
0.0207533517015745,-0.0730334914320469,-0.1252558396424187,0.0234285858491251,0.0302004046670912,-1.1797510161708746,0.8343333897282071,0.8149730505463294,-0.0671698029015842,-0.0864745229293049,-0.07991905839595,0.0134306851051922,0.0138991073926516,-2.22330110998225,0.8990659591800757,0.981290448108386,1.0
0.0207533517015745,-0.0730334914320469,-0.1252558396424187,0.0234285858491251,0.0302004046670912,-1.1797510161708746,0.8343333897282071,0.8149730505463294,-0.1036867218319153,-0.1742853198554199,-0.1565602736046347,0.0197915662406636,0.0208610525569856,-2.0019092211216996,0.8157594085267124,1.0768055208091436,1.0
0.0207533517015745,-0.0730334914320469,-0.1252558396424187,0.0234285858491251,0.0302004046670912,-1.1797510161708746,0.8343333897282071,0.8149730505463294,0.0876192923153793,-0.0289335026045423,0.0207492109602267,0.0336409143485161,0.0273532963995224,0.2559153008245278,0.9710664973954576,1.0204545989375549,1.0
-0.0671698029015842,-0.0864745229293049,-0.07991905839595,0.0134306851051922,0.0138991073926516,-2.22330110998225,0.8990659591800757,0.981290448108386,-0.1036867218319153,-0.1742853198554199,-0.1565602736046347,0.0197915662406636,0.0208610525569856,-2.0019092211216996,0.8157594085267124,1.0768055208091436,0.0
-0.0671698029015842,-0.0864745229293049,-0.07991905839595,0.0134306851051922,0.0138991073926516,-2.22330110998225,0.8990659591800757,0.981290448108386,0.0876192923153793,-0.0289335026045423,0.0207492109602267,0.0336409143485161,0.0273532963995224,0.2559153008245278,0.9710664973954576,1.0204545989375549,1.0
-0.1036867218319153,-0.1742853198554199,-0.1565602736046347,0.0197915662406636,0.0208610525569856,-2.0019092211216996,0.8157594085267124,1.0768055208091436,0.0876192923153793,-0.0289335026045423,0.0207492109602267,0.0336409143485161,0.0273532963995224,0.2559153008245278,0.9710664973954576,1.0204545989375549,1.0
-0.0794644343780875,-0.0133369167475406,-0.0084839730679163,0.0249255996631957,0.0205957732967093,-0.5758953412615426,0.9205355656219124,0.9372659049748404,0.000448735769891,-0.0673266734121743,-0.1211842736376387,0.0235052835118633,0.0302205241058395,-1.081417359285118,0.8332537581340714,0.7159328856495268,1.0
-0.0794644343780875,-0.0133369167475406,-0.0084839730679163,0.0249255996631957,0.0205957732967093,-0.5758953412615426,0.9205355656219124,0.9372659049748404,-0.0530879866636826,-0.0955029607077039,-0.081314954467634,0.0131216568917246,0.0139318677985175,-2.119114394047801,0.889522514081964,0.7790386385940772,1.0
-0.0794644343780875,-0.0133369167475406,-0.0084839730679163,0.0249255996631957,0.0205957732967093,-0.5758953412615426,0.9205355656219124,0.9372659049748404,-0.0548212896375182,-0.1692854544463301,-0.1653791275544602,0.0201726402448985,0.0206009954738732,-1.7669452922625388,0.8124489097461434,0.8294416674076683,1.0
-0.0794644343780875,-0.0133369167475406,-0.0084839730679163,0.0249255996631957,0.0205957732967093,-0.5758953412615426,0.9205355656219124,0.9372659049748404,-0.0140229451411034,-0.0435305796673558,-0.0226677672406717,0.0342005540227811,0.0274086513083047,-0.4469103546936698,0.9496130679571694,0.8780831396462337,1.0
0.000448735769891,-0.0673266734121743,-0.1211842736376387,0.0235052835118633,0.0302205241058395,-1.081417359285118,0.8332537581340714,0.7159328856495268,-0.0530879866636826,-0.0955029607077039,-0.081314954467634,0.0131216568917246,0.0139318677985175,-2.119114394047801,0.889522514081964,0.7790386385940772,1.0
0.000448735769891,-0.0673266734121743,-0.1211842736376387,0.0235052835118633,0.0302205241058395,-1.081417359285118,0.8332537581340714,0.7159328856495268,-0.0548212896375182,-0.1692854544463301,-0.1653791275544602,0.0201726402448985,0.0206009954738732,-1.7669452922625388,0.8124489097461434,0.8294416674076683,0.0
0.000448735769891,-0.0673266734121743,-0.1211842736376387,0.0235052835118633,0.0302205241058395,-1.081417359285118,0.8332537581340714,0.7159328856495268,-0.0140229451411034,-0.0435305796673558,-0.0226677672406717,0.0342005540227811,0.0274086513083047,-0.4469103546936698,0.9496130679571694,0.8780831396462337,0.0
